                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2748,                0.93555,                 1.1656,                0.74187,                 0.6875,                0.71971,                0.38899,                      0,                    inf,                      0,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.2571,                0.96229,                 1.1348,                0.70827,                0.54688,                0.57296,                0.26538,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     36,                 1.2198,                    inf,                 1.0639,                0.73945,                0.64062,                0.68441,                0.40199,                      0,                    inf,                      0,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.2603,                0.89315,                 1.1204,                0.88387,                0.65625,                  0.784,                0.38473,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     38,                 1.3227,                0.92298,                 1.1587,                0.75402,                   0.75,                0.77714,                0.35325,                      0,                    inf,                      0,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3254,                0.90813,                 1.1207,                0.84661,                0.77619,                0.82602,                0.41896,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     40,                 1.3132,                0.91206,                 1.1185,                 0.7614,                0.85938,                0.83081,                0.36574,                      0,                    inf,                      0,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.2571,                0.87026,                 1.1141,                0.78825,                0.78125,                0.79887,                  0.397,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     42,                 1.1747,                0.88347,                 1.1191,                0.79119,                 0.7697,                0.78657,                0.38945,                      0,                    inf,                      0,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.2561,                0.84126,                 1.1357,                0.77474,                   0.75,                0.79383,                0.38056,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     44,                 1.1564,                0.84865,                 1.0832,                0.76021,                0.90625,                0.84318,                 0.3959,                      0,                    inf,                      0,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.1788,                0.82459,                 1.0841,                0.80195,                0.82812,                0.79962,                0.33926,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     46,                 1.1814,                0.82157,                 1.0802,                0.77473,                0.82812,                0.78395,                0.35237,                      0,                    inf,                      0,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2303,                0.83246,                 1.1153,                0.74287,                0.79688,                0.79297,                0.36423,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     48,                 1.1361,                0.77107,                 1.0681,                0.80365,                0.70349,                0.74695,                0.38039,                      0,                    inf,                      0,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.1464,                  0.763,                 1.0641,                0.79192,                0.79688,                0.81279,                0.38529,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     50,                 1.1702,                0.78135,                 1.0657,                0.82247,                0.72395,                0.74364,                0.38242,                      0,                    inf,                      0,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.1596,                0.77532,                 1.0868,                0.77494,                0.71875,                0.74179,                0.38712,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     52,                 1.1142,                0.76459,                  1.059,                0.76949,                0.73438,                0.73326,                0.34678,                      0,                    inf,                      0,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.1412,                0.76671,                 1.0877,                0.80066,                0.76562,                0.75853,                0.37197,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     54,                 1.1047,                0.76193,                 1.0455,                 0.8129,                0.76562,                0.79868,                0.39541,                      0,                    inf,                      0,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1635,                0.76489,                  1.081,                0.79907,                0.78125,                 0.7776,                0.38117,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     56,                 1.1162,                0.75645,                 1.0546,                 0.8525,                0.81276,                0.79225,                0.37312,                      0,                    inf,                      0,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.1058,                 0.7099,                 1.0434,                0.81469,                0.82437,                0.81234,                0.41183,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     58,                 1.0976,                0.75145,                 1.0428,                0.76866,                0.89062,                0.82631,                0.41002,                      0,                    inf,                      0,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.1541,                0.78974,                 1.0695,                0.84897,                0.79056,                0.84604,                0.41917,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     60,                 1.0744,                0.72062,                 1.0051,                0.81524,                0.82812,                0.86115,                0.45075,                      0,                    inf,                      0,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.1023,                 0.7541,                 1.0372,                0.80009,                0.79688,                0.81037,                 0.4197,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     62,                 1.1109,                0.71146,                 1.0772,                0.79234,                0.76562,                  0.773,                 0.4069,                      0,                    inf,                      0,              0.0069805,              0.0069805,              0.0069805
                     63,                  1.045,                 0.6884,                 1.0521,                0.71818,                0.79688,                0.74406,                0.39224,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     64,                 1.0632,                0.70834,                 1.0276,                0.74374,                0.78125,                0.73778,                0.42161,                      0,                    inf,                      0,              0.0068815,              0.0068815,              0.0068815
                     65,                  1.113,                0.72099,                 1.0688,                0.77066,                0.73438,                0.76116,                0.45154,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     66,                 1.0992,                0.69655,                 1.0246,                 0.7556,                0.77299,                 0.7828,                0.41238,                      0,                    inf,                      0,              0.0067825,              0.0067825,              0.0067825
                     67,                 0.9916,                0.67842,                 1.0185,                0.85057,                0.80047,                0.78278,                0.40351,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     68,                  1.085,                0.68443,                 1.0418,                0.71313,                0.73806,                0.75023,                0.40438,                      0,                    inf,                      0,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.0913,                0.68882,                 1.0326,                0.80758,                0.73438,                0.79474,                0.41938,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     70,                0.99678,                0.65967,                 1.0093,                0.82726,                0.78125,                0.83343,                0.42125,                      0,                    inf,                      0,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.0135,                0.66575,                 1.0141,                0.82181,                  0.875,                0.87338,                 0.4143,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     72,                0.95105,                 0.6487,                0.98844,                0.82979,                0.84375,                0.86446,                0.46534,                      0,                    inf,                      0,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.0297,                 0.6505,                0.99668,                0.92876,                0.78125,                0.90435,                0.43121,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     74,                 1.0525,                0.64776,                 1.0091,                0.77508,                0.84375,                0.84245,                 0.4458,                      0,                    inf,                      0,              0.0063865,              0.0063865,              0.0063865
                     75,                0.96967,                0.64351,                 1.0224,                0.81844,                0.78125,                0.80507,                0.42427,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     76,                0.99108,                0.63912,                 1.0028,                0.82218,                   0.75,                0.78726,                 0.4059,                      0,                    inf,                      0,              0.0062875,              0.0062875,              0.0062875
                     77,                0.97989,                0.63493,                0.98287,                0.74869,                0.83793,                0.80588,                0.40678,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     78,                0.95986,                 0.6309,                0.99294,                0.79025,                0.82418,                0.83742,                0.43059,                      0,                    inf,                      0,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.0307,                0.66736,                 1.0063,                0.74673,                0.82812,                0.79901,                0.41688,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     80,                 1.0687,                0.64513,                 1.0348,                0.74387,                0.79688,                0.77898,                 0.4259,                      0,                    inf,                      0,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.0323,                0.65096,                 1.0005,                0.81603,                0.76244,                0.78421,                0.38811,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     82,                0.96773,                0.63124,                0.99374,                0.76398,                0.80927,                0.79657,                0.39414,                      0,                    inf,                      0,              0.0059905,              0.0059905,              0.0059905
                     83,                0.96488,                0.61707,                0.97712,                0.81041,                0.80152,                0.81314,                0.38651,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     84,                0.93371,                0.59853,                0.97658,                0.79438,                0.76562,                0.73331,                0.35406,                      0,                    inf,                      0,              0.0058915,              0.0058915,              0.0058915
                     85,                0.96687,                0.62611,                0.99927,                0.80711,                 0.8125,                0.81659,                 0.4141,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     86,                0.93821,                  0.583,                0.97138,                0.81012,                0.86669,                0.86375,                0.42327,                      0,                    inf,                      0,              0.0057925,              0.0057925,              0.0057925
                     87,                0.93982,                0.57659,                0.98287,                0.78213,                 0.8125,                0.81223,                0.42111,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     88,                0.98875,                0.62449,                 1.0161,                0.82106,                0.79688,                0.82828,                0.43208,                      0,                    inf,                      0,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.0037,                0.61749,                0.97651,                0.85576,                0.70312,                 0.8097,                0.41413,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     90,                 0.9449,                 0.5942,                0.99706,                0.82248,                0.76562,                0.82532,                0.45143,                      0,                    inf,                      0,              0.0055945,              0.0055945,              0.0055945
                     91,                0.90438,                0.58083,                0.96345,                0.83119,                0.78125,                0.82242,                0.41631,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     92,                0.90858,                0.58359,                0.96305,                0.72878,                0.79688,                0.79461,                0.39487,                      0,                    inf,                      0,              0.0054955,              0.0054955,              0.0054955
                     93,                0.89769,                0.57287,                0.96815,                0.78565,                0.82812,                0.85762,                0.43404,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     94,                0.91268,                0.57486,                0.95194,                0.80509,                0.77453,                0.83256,                0.43881,                      0,                    inf,                      0,              0.0053965,              0.0053965,              0.0053965
                     95,                0.94104,                0.60789,                0.98084,                0.81624,                0.83291,                0.85162,                0.44054,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     96,                0.87329,                0.56687,                0.96947,                0.79897,                0.89062,                0.88754,                0.46942,                      0,                    inf,                      0,              0.0052975,              0.0052975,              0.0052975
                     97,                 0.8254,                0.56131,                0.94485,                0.80587,                0.85938,                0.88074,                0.46386,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     98,                0.87608,                0.55631,                0.96181,                0.80708,                  0.875,                0.83904,                0.43981,                      0,                    inf,                      0,              0.0051985,              0.0051985,              0.0051985
                     99,                   0.89,                0.56374,                0.95296,                0.80818,                0.85583,                0.85906,                0.44219,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                    100,                0.86311,                0.55143,                0.95625,                0.77271,                  0.875,                0.82577,                 0.4281,                      0,                    inf,                      0,              0.0050995,              0.0050995,              0.0050995
                    101,                0.88996,                0.56302,                0.98131,                0.86051,                  0.875,                0.90627,                0.42471,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                    102,                0.83126,                0.56241,                0.94837,                0.82333,                0.87385,                0.84297,                 0.4445,                      0,                    inf,                      0,              0.0050005,              0.0050005,              0.0050005
                    103,                0.85227,                0.55197,                0.95634,                0.85859,                 0.8125,                0.83557,                0.42614,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                    104,                0.81985,                0.53586,                0.95589,                0.81478,                0.89357,                0.85022,                 0.4298,                      0,                    inf,                      0,              0.0049015,              0.0049015,              0.0049015
                    105,                0.85795,                0.54401,                0.94964,                0.81367,                0.84375,                0.82824,                0.39802,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                    106,                  0.818,                0.53696,                0.93947,                0.92902,                0.84375,                0.88623,                0.42326,                      0,                    inf,                      0,              0.0048025,              0.0048025,              0.0048025
                    107,                0.81759,                0.55116,                0.95153,                0.85246,                 0.8125,                 0.8332,                0.38894,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                    108,                0.84887,                0.54395,                0.94523,                0.84367,                0.84326,                0.85762,                0.42886,                      0,                    inf,                      0,              0.0047035,              0.0047035,              0.0047035
                    109,                0.88063,                0.54167,                0.97963,                 0.8456,                  0.875,                0.88175,                0.41703,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                    110,                0.80516,                0.53227,                0.93864,                0.82043,                0.85669,                0.83074,                0.41835,                      0,                    inf,                      0,              0.0046045,              0.0046045,              0.0046045
                    111,                0.83971,                0.53161,                0.94778,                 0.8759,                0.89062,                0.85282,                0.42828,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                    112,                0.80012,                0.51845,                0.92526,                0.80975,                0.84375,                0.79581,                0.42603,                      0,                    inf,                      0,              0.0045055,              0.0045055,              0.0045055
                    113,                0.82757,                0.53068,                0.92674,                0.83045,                0.84185,                0.78668,                0.41261,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                    114,                0.83278,                0.56447,                0.95455,                0.81943,                 0.8125,                0.79717,                0.42151,                      0,                    inf,                      0,              0.0044065,              0.0044065,              0.0044065
                    115,                0.81094,                0.50617,                0.92951,                0.78873,                 0.8167,                0.82563,                0.42783,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                    116,                0.76945,                0.49454,                0.92108,                0.81217,                0.81078,                0.81378,                0.42413,                      0,                    inf,                      0,              0.0043075,              0.0043075,              0.0043075
                    117,                0.78686,                0.52605,                0.91794,                0.80581,                0.85938,                0.83522,                0.43539,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                    118,                0.74755,                0.53943,                0.93632,                0.80492,                0.85938,                0.84061,                0.43849,                      0,                    inf,                      0,              0.0042085,              0.0042085,              0.0042085
                    119,                0.80251,                0.51611,                0.93181,                0.78839,                  0.875,                0.85653,                0.44461,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                    120,                 0.7717,                0.50896,                0.91341,                0.82605,                0.90625,                0.86967,                0.44792,                      0,                    inf,                      0,              0.0041095,              0.0041095,              0.0041095
                    121,                0.79416,                0.51357,                0.92869,                0.78451,                0.85332,                0.80711,                0.44136,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                    122,                0.76478,                0.51988,                0.93349,                0.81136,                0.87366,                0.81223,                0.43905,                      0,                    inf,                      0,              0.0040105,              0.0040105,              0.0040105
                    123,                0.75675,                0.48941,                0.90522,                0.78414,                  0.875,                0.83908,                0.47017,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                    124,                0.77462,                0.49521,                0.90817,                0.82272,                  0.875,                0.83845,                0.46488,                      0,                    inf,                      0,              0.0039115,              0.0039115,              0.0039115
                    125,                0.74969,                0.51026,                0.91533,                0.79581,                0.85938,                0.80433,                0.45073,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                    126,                0.75839,                0.49536,                0.90867,                0.78464,                0.85395,                0.81923,                0.48121,                      0,                    inf,                      0,              0.0038125,              0.0038125,              0.0038125
                    127,                0.77942,                0.49617,                0.90983,                0.79406,                0.84347,                0.82002,                0.45665,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                    128,                0.71681,                0.46855,                0.90734,                0.82458,                 0.8125,                0.83634,                0.48366,                      0,                    inf,                      0,              0.0037135,              0.0037135,              0.0037135
                    129,                0.70792,                0.47767,                0.91297,                0.86326,                0.88781,                0.85555,                0.45766,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                    130,                 0.7186,                0.47763,                0.91178,                0.86351,                0.88971,                0.88128,                0.45628,                      0,                    inf,                      0,              0.0036145,              0.0036145,              0.0036145
                    131,                0.74787,                0.49243,                0.91456,                0.84599,                0.85833,                0.87906,                0.45801,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                    132,                0.70864,                0.47404,                0.90604,                0.87079,                0.84375,                0.86669,                 0.4548,                      0,                    inf,                      0,              0.0035155,              0.0035155,              0.0035155
                    133,                0.72832,                0.46242,                0.92563,                0.83363,                  0.875,                0.84778,                0.41971,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                    134,                0.77279,                0.50416,                0.92252,                0.84341,                0.89062,                0.84619,                0.43818,                      0,                    inf,                      0,              0.0034165,              0.0034165,              0.0034165
                    135,                0.70458,                0.46632,                0.89922,                0.83462,                0.89062,                0.87095,                0.46422,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                    136,                0.77129,                0.49511,                0.93275,                0.85978,                  0.875,                0.86386,                0.48091,                      0,                    inf,                      0,              0.0033175,              0.0033175,              0.0033175
                    137,                0.69851,                0.46601,                0.90438,                0.84097,                0.82631,                 0.8467,                0.43131,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                    138,                0.67736,                0.47877,                0.91454,                0.82132,                0.89062,                0.85229,                0.44379,                      0,                    inf,                      0,              0.0032185,              0.0032185,              0.0032185
                    139,                0.70253,                0.46795,                0.90532,                0.83727,                0.85938,                0.85351,                0.44916,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                    140,                0.69685,                0.45891,                0.90083,                0.83398,                0.86346,                0.84866,                0.45664,                      0,                    inf,                      0,              0.0031195,              0.0031195,              0.0031195
                    141,                0.67038,                0.45455,                0.90398,                0.88147,                0.84375,                0.85996,                0.45347,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                    142,                0.68284,                0.44914,                  0.895,                0.85939,                0.84375,                0.84391,                  0.451,                      0,                    inf,                      0,              0.0030205,              0.0030205,              0.0030205
                    143,                0.67304,                  0.455,                0.90567,                0.84631,                0.84375,                0.82971,                0.43426,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                    144,                 0.6774,                0.46344,                0.88406,                0.85218,                0.84375,                0.83274,                0.45564,                      0,                    inf,                      0,              0.0029215,              0.0029215,              0.0029215
                    145,                0.70563,                0.47914,                0.91748,                0.84453,                0.85938,                0.83944,                0.46005,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                    146,                0.67463,                0.45053,                0.88811,                0.84552,                0.85523,                0.82831,                0.48069,                      0,                    inf,                      0,              0.0028225,              0.0028225,              0.0028225
                    147,                0.62301,                0.44196,                0.87548,                0.84094,                0.84375,                0.83723,                0.48502,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                    148,                0.62924,                0.44722,                0.86628,                0.80804,                0.85938,                0.84562,                0.48334,                      0,                    inf,                      0,              0.0027235,              0.0027235,              0.0027235
                    149,                 0.6413,                0.43409,                 0.8644,                0.83521,                0.82812,                0.83644,                0.45742,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                    150,                0.65375,                0.43819,                0.88315,                0.82025,                  0.875,                0.84771,                0.46173,                      0,                    inf,                      0,              0.0026245,              0.0026245,              0.0026245
                    151,                0.67599,                0.44911,                0.90699,                0.81883,                0.85938,                0.85104,                0.47391,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                    152,                0.62693,                0.41815,                0.87529,                0.80959,                  0.875,                0.84212,                0.46235,                      0,                    inf,                      0,              0.0025255,              0.0025255,              0.0025255
                    153,                0.65024,                0.43639,                0.88346,                0.79836,                  0.875,                0.80688,                0.42717,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                    154,                 0.6637,                0.43116,                0.88837,                0.83259,                  0.875,                0.82908,                0.45901,                      0,                    inf,                      0,              0.0024265,              0.0024265,              0.0024265
                    155,                 0.6359,                0.43506,                0.87838,                0.83254,                0.85455,                0.83305,                0.47979,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                    156,                0.62287,                0.42007,                0.87254,                0.84138,                0.84375,                0.83759,                0.48066,                      0,                    inf,                      0,              0.0023275,              0.0023275,              0.0023275
                    157,                0.61377,                0.40826,                0.88691,                0.82823,                0.84375,                0.82744,                0.47081,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                    158,                0.61011,                0.41972,                0.86505,                0.83937,                0.84375,                 0.8278,                0.47892,                      0,                    inf,                      0,              0.0022285,              0.0022285,              0.0022285
                    159,                0.64348,                0.41154,                0.87782,                0.85662,                0.84017,                0.83164,                 0.4608,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                    160,                0.59561,                0.39687,                0.89234,                0.85442,                0.82812,                 0.8205,                0.43856,                      0,                    inf,                      0,              0.0021295,              0.0021295,              0.0021295
                    161,                0.60471,                0.40677,                0.88901,                0.88134,                0.81238,                 0.8201,                0.44071,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                    162,                0.60266,                0.40363,                0.87811,                0.84231,                0.84375,                0.83366,                0.46933,                      0,                    inf,                      0,              0.0020305,              0.0020305,              0.0020305
                    163,                0.61076,                0.41584,                0.86846,                0.84422,                0.85938,                0.82379,                0.45707,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                    164,                0.59357,                0.39724,                0.87289,                0.84536,                0.85938,                0.82956,                0.47657,                      0,                    inf,                      0,              0.0019315,              0.0019315,              0.0019315
                    165,                0.56264,                    inf,                0.81707,                0.84536,                0.85938,                0.82956,                0.47657,                      0,                    nan,                      0,               0.001882,               0.001882,               0.001882
                    166,                    nan,                    nan,                    nan,                0.84536,                0.85938,                0.82956,                0.47657,                      0,                    nan,                      0,              0.0018325,              0.0018325,              0.0018325
                    167,                    nan,                    nan,                    nan,                0.84536,                0.85938,                0.82956,                0.47657,                      0,                    nan,                      0,               0.001783,               0.001783,               0.001783
                    168,                    nan,                    nan,                    nan,                0.84536,                0.85938,                0.82956,                0.47657,                      0,                    nan,                      0,              0.0017335,              0.0017335,              0.0017335
                    169,                    nan,                    nan,                    nan,                0.84536,                0.85938,                0.82956,                0.47657,                      0,                    nan,                      0,               0.001684,               0.001684,               0.001684
                    170,                    nan,                    nan,                    nan,                0.84536,                0.85938,                0.82956,                0.47657,                      0,                    nan,                      0,              0.0016345,              0.0016345,              0.0016345
                    171,                    nan,                    nan,                    nan,                0.84536,                0.85938,                0.82956,                0.47657,                      0,                    nan,                      0,               0.001585,               0.001585,               0.001585
